author,poem name,age,type,question
FORD MADOX FORD,In October 1914 [Antwerp],Modern,Mythology & Folklore,"A hundred thousand dragging sunlit days, 
And half October like a thousand years... 
Oh, poor dears!"
JOHN DONNE,The Canonization,Renaissance,Love,"         And if no piece of chronicle we prove,
                We'll build in sonnets pretty rooms;
                As well a well-wrought urn becomes
The greatest ashes, as half-acre tombs,
         And by these hymns, all shall approve"
EDMUND SPENSER,from The Shepheardes Calender: April,Renaissance,Nature,"         She shalbe a grace,
         To fyll the fourth place,
And reigne with the rest in heaven.
And whither rennes this bevie of Ladies bright,
         raunged in a rowe?"
SIR PHILIP SIDNEY,"Astrophil and Stella 47: What, have I thus betrayed my liberty? ",Renaissance,Love,"Leave following that which it is gain to miss.
Let her go. Soft, but here she comes. Go to,
Unkind, I love you not! O me, that eye
Doth make my heart give to my tongue the lie!"
T. S. ELIOT,Portrait of a Lady,Modern,Love,"My feelings, always sure that you feel,
Sure that across the gulf you reach your hand.
You are invulnerable, you have no Achilles' heel.
You will go on, and when you have prevailed
You can say: at this point many a one has failed."
D. H. LAWRENCE,The Wild Common,Modern,Nature,"Are they asleep?  are they living?  Now see, when I
Lift my arms, the hill bursts and heaves under their spurting kick!
The common flaunts bravely; but below, from the rushes
Crowds of glittering king-cups surge to challenge the blossoming bushes;
There the lazy streamlet pushes"
JOHN DONNE,The Relic,Renaissance,Love,"Meet at this grave, and make a little stay?
         If this fall in a time, or land,
         Where mis-devotion doth command,
         Then he, that digs us up, will bring
         Us to the bishop, and the king,"
T. S. ELIOT,Rhapsody on a Windy Night,Modern,Nature,"That cross and cross across her brain.""
The reminiscence comes
Of sunless dry geraniums
And dust in crevices,
Smells of chestnuts in the streets,"
CARL SANDBURG,The Road and the End,Modern,Nature,"The broken boulders by the road
Shall not commemorate my ruin.
Regret shall be the gravel under foot.
I shall watch for
Slim birds swift of wing"
D. H. LAWRENCE,Cruelty and Love ,Modern,Nature,"Into the evening's empty hall.
Oh, water-hen, beside the rushes
Hide your quaint, unfading blushes,
Still your quick tail, and lie as dead,
Till the distance folds over his ominous tread."
WILLIAM SHAKESPEARE,The Phoenix and the Turtle,Renaissance,Mythology & Folklore,"Save the eagle, feather'd king;
Keep the obsequy so strict.
Let the priest in surplice white,
That defunctive music can,
Be the death-divining swan,"
"HENRY HOWARD, EARL OF SURREY",Complaint of the Absence of Her Love Being Upon the Sea,Renaissance,Love,"But when I find the lack, Lord, how I mourn!
When other lovers in arms across
Rejoice their chief delight.
Drowned in tears, to mourn my loss
I stand the bitter night"
LADY MARY WROTH,"from The Countesse of Montgomerys Urania: Love peruse me, seeke, and finde",Renaissance,Love,"Close the Truncke, embalme the Chest,
Where your power still shall rest,
            Joy entombe,
            Loves just doome."
EDMUND SPENSER,Amoretti LXXXIX: Lyke as the Culver on the bared bough,Renaissance,Love,"Whose sweet aspect both God and man can move,
In her unspotted pleasauns to delight.
Dark is my day, whyles her fayre light I mis,
And dead my life that wants such lively blis."
EDMUND SPENSER,from The Shepheardes Calender: April,Renaissance,Nature,"O quam te memorem virgo?
HOBBINOLLS EMBLEME
O dea certe."
HART CRANE,A Name for All,Modern,Nature,"With fin and hoof, with wing and sweetened fang
Struck free and holy in one Name always."
QUEEN ELIZABETH I,On Monsieurs Departure,Renaissance,Love,"No means I find to rid him from my breast,
Till by the end of things it be supprest.
Some gentler passion slide into my mind,
For I am soft and made of melting snow;
Or be more cruel, love, and so be kind."
MARIANNE MOORE,A Graveyard,Modern,Nature,"whose expression is no longer a protest; the fish no longer investigate them
for their bones have not lasted;
men lower nets, unconscious of the fact that they are desecrating a grave,
and row quickly awaythe blades of the oars   
moving together like the feet of water-spiders as if there were no such thing as death."
LOUIS UNTERMEYER,The Victory of the Beet-Fields,Modern,Nature,"We mourn for every leaf that lies,
As though it were a comrade slain;
Each was a shelter from the eyes
Of every prying aeroplane... 
And in its cloudy uniform,"
SIR WALTER RALEGH,Walsinghame,Renaissance,Love,"There is none hath a form so divine
In the earth or the air.
Such an one did I meet, good Sir,
Such an Angelic face,
Who like a queen, like a nymph, did appear"
SIR THOMAS WYATT,The Heart and Service,Renaissance,Love,"And since so much I do desire
To be your own assuredly,
For all my service and my hire
Reward your servant liberally."
SARA TEASDALE,The Old Maid,Modern,Love,"Her soul was frozen in the dark
Unwarmed forever by love's flame.
I felt my lover look at her
And then turn suddenly to me, 
His eyes were magic to defy"
CHRISTOPHER MARLOWE,Hero and Leander,Renaissance,Mythology & Folklore,"Of crystal shining fair the pavement was;
The town of Sestos call'd it Venus' glass:
There might you see the gods in sundry shapes,
Committing heady riots, incest, rapes:
For know, that underneath this radiant flower"
EDMUND SPENSER,from The Shepheardes Calender: April,Renaissance,Mythology & Folklore,"So nowe fayre Rosalind hath bredde hys smart,
So now his frend is chaunged for a frenne.
THENOT
But if hys ditties bene so trimly dight,
I pray thee Hobbinoll, recorde some one:"
THOMAS NASHE,"In Time of Plague [Adieu, farewell, earths bliss]",Renaissance,Love,"All things to end are made,
The plague full swift goes by;
I am sick, I must die.
   Lord, have mercy on us!
Beauty is but a flower"
EDMUND SPENSER,Epithalamion,Renaissance,Mythology & Folklore,"And for the guerdon of theyr glorious merit
May heavenly tabernacles there inherit,
Of blessed Saints for to increase the count.
So let us rest, sweet love, in hope of this,
And cease till then our tymely joyes to sing,"
"HENRY HOWARD, EARL OF SURREY",Wyatt Resteth Here,Renaissance,Love,"Lived, and ran the race that nature set;
Of manhoods shape, where she the mold did lose.
But to the heavens that simple soul is fled,
Which left with such, as covet Christ to know
Witness of faith that never shall be dead:"
EDMUND SPENSER,An Hymn In Honour Of Beauty,Renaissance,Love,"The most resemblance of that heavenly light,
Frame to themselves most beautiful and brave
Their fleshly bower, most fit for their delight,
And the gross matter by a sovereign might
Tempers so trim, that it may well be seen"
JOHN DONNE,A Lecture upon the Shadow,Renaissance,Love,"From us, and our cares; but now tis not so.
That love has not attain'd the high'st degree,
Which is still diligent lest others see.
Except our loves at this noon stay,
We shall new shadows make the other way."
T. S. ELIOT,The Love Song of J. Alfred Prufrock,Modern,Love,"(They will say: How his hair is growing thin!)
My morning coat, my collar mounting firmly to the chin,
My necktie rich and modest, but asserted by a simple pin 
(They will say: But how his arms and legs are thin!)
Do I dare"
EDMUND SPENSER,Epithalamion,Renaissance,Mythology & Folklore,"Be also present heere,
To helpe to decke her and to help to sing,
That all the woods may answer and your eccho ring.
Wake, now my love, awake; for it is time,
The Rosy Morne long since left Tithones bed,"
WALLACE STEVENS,Peter Quince at the Clavier,Modern,Love,"Revealed Susanna and her shame.
And then, the simpering Byzantines
Fled, with a noise like tambourines.
                                             IV
Beauty is momentary in the mind"
EDMUND SPENSER,from The Shepheardes Calender: April,Renaissance,Mythology & Folklore,"         She shalbe a grace,
         To fyll the fourth place,
And reigne with the rest in heaven.
And whither rennes this bevie of Ladies bright,
         raunged in a rowe?"
RICHARD BARNFIELD,Sonnet 16,Renaissance,Love,"Weening to kisse his lips, as my loves fees,
I feele but aire: nothing but aire to bee him.
Thus with Ixion, kisse I clouds in vaine:
Thus with Ixion, feele I endles paine."
EDMUND SPENSER,An Hymn In Honour Of Beauty,Renaissance,Love,"An outward shew of things, that only seem.
For that same goodly hue of white and red,
With which the cheeks are sprinkled, shall decay,
And those sweet rosy leaves, so fairly spread
Upon the lips, shall fade and fall away"
JOHN DONNE,Of the Progress of the Soul: The Second Anniversary,Renaissance,Nature,"Than those thy fellow-worms do think upon
That carcass's last resurrection?
Forget this world, and scarce think of it so,
As of old clothes, cast off a year ago.
To be thus stupid is alacrity;"
WALLACE STEVENS,Thirteen Ways of Looking at a Blackbird,Modern,Nature,"Would cry out sharply.   
XI
He rode over Connecticut   
In a glass coach.   
Once, a fear pierced him,   "
JOHN DONNE,The Ecstasy,Renaissance,Nature,"They'are ours, though they'are not we; we are
         The intelligences, they the spheres.
We owe them thanks, because they thus
         Did us, to us, at first convey,
Yielded their senses' force to us,"
JOHN DONNE,The Apparition,Renaissance,Mythology & Folklore,"And then, poor aspen wretch, neglected thou
Bath'd in a cold quicksilver sweat wilt lie
         A verier ghost than I.
What I will say, I will not tell thee now,
Lest that preserve thee; and since my love is spent,"
EDMUND SPENSER,Prothalamion,Renaissance,Nature,"'Ye gentle birds, the world's fair ornament,
And heaven's glory, whom this happy hour
Doth lead unto your lovers' blissful bower,
Joy may you have and gentle heart's content
Of your love's complement:"
CHRISTOPHER MARLOWE,Hero and Leander,Renaissance,Mythology & Folklore,"         Amorous Leander, beautiful and young
(Whose tragedy divine Musus sung),
Dwelt at Abydos; since him dwelt there none
For whom succeeding times make greater moan.
His dangling tresses, that were never shorn,"
EDMUND SPENSER,from The Shepheardes Calender: April,Renaissance,Nature,"Nor thys, nor that, so muche doeth make me mourne,
But for the ladde, whome long I lovd so deare,
Nowe loves a lasse, that all his love doth scorne:
He plongd in payne, his tressed locks dooth teare.
Shepheards delights he dooth them all forsweare,"
EDMUND SPENSER,An Hymn In Honour Of Beauty,Renaissance,Love,"That base affections, which your ears would bland,
Commend to you by love's abused name,
But is indeed the bondslave of defame;
Which will the garland of your glory mar,
And quench the light of your bright shining star."
EDMUND SPENSER,from The Shepheardes Calender: October,Renaissance,Nature,"And lyftes him up out of the loathsome myre:
Such immortall mirrhor, as he doth admire,
Would rayse ones mynd above the starry skie.
And cause a caytive corage to aspire,
For lofty love doth loath a lowly eye."
ELINOR WYLIE,Full Moon,Modern,Nature,"Shouldering the thoughts I loathed,
In their corrupt disguises clothed,
Morality I could not tear
From my ribs, to leave them bare
Ivory in silver air."
EDMUND SPENSER,Prosopopoia: or Mother Hubbard's Tale,Renaissance,Mythology & Folklore,"Then to some nobleman yourself apply,
Or other great one in the worldes eye,
That hath a zealous disposition
To God, and so to his religion.
There must thou fashion eke a godly zeal,"
WILLIAM SHAKESPEARE,Sonnet 20: A womans face with natures own hand painted,Renaissance,Love,"And by addition me of thee defeated
By adding one thing to my purpose nothing.
      But since she pricked thee out for women's pleasure,
      Mine be thy love and thy loves use their treasure."
D. H. LAWRENCE,The Enkindled Spring,Modern,Nature,"About like a shadow buffeted in the throng
Of flames, a shadow that's gone astray, and is lost."
RICHARD ALDINGTON,To a Greek Marble,Modern,Love,"Of our loves in Phrygia,
The far ecstasy of burning noons
When the fragile pipes
Ceased in the cypress shade,
And the brown fingers of the shepherd"
WILLIAM SHAKESPEARE,Sonnet 1: From fairest creatures we desire increase,Renaissance,Love,"Within thine own bud buriest thy content,
And, tender churl, makst waste in niggarding.
   Pity the world, or else this glutton be,
   To eat the worlds due, by the grave and thee."
WILLIAM SHAKESPEARE,The Phoenix and the Turtle,Renaissance,Love,"Save the eagle, feather'd king;
Keep the obsequy so strict.
Let the priest in surplice white,
That defunctive music can,
Be the death-divining swan,"
LOUIS UNTERMEYER,Magic,Modern,Mythology & Folklore,"Happy to move about a spirit quite
As old, as placid and as confident...
Sideways we turned. Still glistening and unclad
He leaped up on the bank, light as a lad,
His body in the moonlight dripping stars..."
EDMUND SPENSER,Prothalamion,Renaissance,Mythology & Folklore,"The rest so far as Cynthia doth shend
The lesser stars. So they, enranged well,
Did on those two attend,
And their best service lend,
Against their wedding day, which was not long:"
EDMUND SPENSER,"from The Faerie Queene: Book I, Canto I",Renaissance,Mythology & Folklore,"Strangle her, else she sure will strangle thee.
That when he heard, in great perplexitie,
His gall did grate for griefe and high disdaine,
And knitting all his force got one hand free,
Wherewith he grypt her gorge with so great paine,"
JOHN FLETCHER,"Take, Oh, Take Those Lips Away",Renaissance,Love,"But first set my poor heart free,
Bound in those icy chains by thee."
EDMUND SPENSER,from The Shepheardes Calender: October,Renaissance,Mythology & Folklore,"For ever, who in derring doe were dreade,
The loftie verse of hem was loved aye.
But after vertue gan for age to stoupe,
And mighty manhode brought a bedde of ease:
The vaunting Poets found nought worth a pease,"
EN JONSON,Song: to Celia [Drink to me only with thine eyes],Renaissance,Love,"As giving it a hope, that there
         It could not withered be.
But thou thereon didst only breathe,
         And sentst it back to me;
Since when it grows, and smells, I swear,"
EDMUND SPENSER,Prothalamion,Renaissance,Mythology & Folklore,"With gifts of wit and ornaments of nature,
Fit for so goodly stature;
That like the twins of Jove they seemed in sight,
Which deck the baldric of the heavens bright.
They two forth pacing to the river's side,"
JOHN DONNE,The Canonization,Renaissance,Love,"We're tapers too, and at our own cost die,
         And we in us find the eagle and the dove.
                The phnix riddle hath more wit
                By us; we two being one, are it.
So, to one neutral thing both sexes fit."
EDMUND SPENSER,from The Shepheardes Calender: April,Renaissance,Mythology & Folklore,"Which once he made, as by a spring he laye,
And tuned it unto the Waters fall.
Ye dayntye Nymphs, that in this blessed Brooke
         doe bathe your brest,
Forsake your watry bowres, and hether looke,"
"HENRY VIII, KING OF ENGLAND",Though that Men do Call it Dotage,Renaissance,Love,"Thus am I fixed without grudge:
Mine eye with heart doth me so judge.
Love maintaineth all noble courage.
Who love disdaineth is all of the village:
Such loversthough they take pain"
ELINOR WYLIE,Wild Peaches,Modern,Nature,"Bare hills, cold silver on a sky of slate,
A thread of water, churned to milky spate
Streaming through slanted pastures fenced with stones.
I love those skies, thin blue or snowy gray,
Those fields sparse-planted, rendering meagre sheaves;"
SIR PHILIP SIDNEY,Astrophil and Stella 71: Who will in fairest book of nature know ,Renaissance,Love,"Who mark in thee what is in thee most fair.
So while thy beauty draws thy heart to love,
As fast thy virtue bends that love to good:
But ""Ah,"" Desire still cries, ""Give me some food!"""
WILLIAM SHAKESPEARE,Song: It was a lover and his lass,Renaissance,Love,"For love is crowned with the prime
   In springtime, the only pretty ring time,
When birds do sing, hey ding a ding, ding;
Sweet lovers love the spring."
JOHN SKELTON,The Book of Phillip Sparrow,Renaissance,Mythology & Folklore,"No creatuer but that wolde
Have rewed upon me,
To behold and se
What hevynesse dyd me pange;
Wherewith my handes I wrange,"
MARIANNE MOORE,Black Earth,Modern,Nature,"         Plant, absorbed into which, the equable sapphire light
         Becomes a nebulous green.  The I of each is to
The I of each,
A kind of fretful speech
         Which sets a limit on itself; the elephant is?"
THOMAS NASHE,"Spring, the sweet spring",Renaissance,Nature,"In every street these tunes our ears do greet:
      Cuckoo, jug-jug, pu-we, to witta-woo!
            Spring, the sweet spring!"
EDMUND SPENSER,The Shepheardes Calender: January,Renaissance,Nature,Whose hanging heads did seeme his carefull case to weepe.
HART CRANE,For The Marriage of Faustus and Helen,Modern,Mythology & Folklore,"All stubble streets that have not curved
To memory, or known the ominous lifted arm
That lowers down the arc of Helens brow
To saturate with blessing and dismay.
A goose, tobacco and cologne"
CHRISTOPHER MARLOWE,Hero and Leander,Renaissance,Mythology & Folklore,"His body was as straight as Circe's wand;
Jove might have sipt out nectar from his hand.
Even as delicious meat is to the taste,
So was his neck in touching, and surpast
The white of Pelops' shoulder: I could tell ye,"
JOHN DONNE,Elegy IX: The Autumnal,Renaissance,Love,"Fair eyes, who asks more heat than comes from hence,
         He in a fever wishes pestilence.
Call not these wrinkles, graves; if graves they were,
         They were Love's graves, for else he is no where.
Yet lies not Love dead here, but here doth sit"
HART CRANE,For The Marriage of Faustus and Helen,Modern,Mythology & Folklore,"Greet naivelyyet intrepidly
New soothings, new amazements
That cornets introduce at every turn
And you may fall downstairs with me
With perfect grace and equanimity."
EDMUND SPENSER,from The Shepheardes Calender: April,Renaissance,Mythology & Folklore,"And was thilk same song of Colins owne making?
Ah foolish boy, that is with love yblent:
Great pittie is, he be in such taking,
For naught caren, that bene so lewdly bent.
HOBBINOLL"
EDMUND SPENSER,"from The Faerie Queene: Book I, Canto I",Renaissance,Mythology & Folklore,"Now (sayd the Lady) draweth toward night,
And well I wote, that of your later fight
Ye all forwearied be: for what so strong,
But wanting rest will also want of might?
The Sunne that measures heaven all day long,"
EDMUND SPENSER,Epithalamion,Renaissance,Mythology & Folklore,"Poure not by cups, but by the belly full,
Poure out to all that wull,
And sprinkle all the postes and wals with wine,
That they may sweat, and drunken be withall.
Crowne ye God Bacchus with a coronall,"
EN JONSON,"Still to be neat, still to be dressed",Renaissance,Love,"                       Than all th'adulteries of art. 
They strike mine eyes, but not my heart."
D. H. LAWRENCE,Tortoise Shout,Modern,Love,"A birth-cry,
A submission,
All tiny, tiny, far away, reptile under the first dawn.
War-cry, triumph, acute-delight, death-scream reptilian,
Why was the veil torn?"
EZRA POUND,The River-Merchants Wife: A Letter,Modern,Nature,"Too deep to clear them away!
The leaves fall early this autumn, in wind.
The paired butterflies are already yellow with August
Over the grass in the West garden;
They hurt me."
WILLIAM SHAKESPEARE,from The Rape of Lucrece,Renaissance,Love,"Wounding itself to death, rise up and fall,
Beating her bulk, that his hand shakes withal.
This moves in him more rage and lesser pity,
To make the breach and enter this sweet city."
THOMAS CAMPION,Never Love Unless,Renaissance,Love,"For what is courtship but disguise?
True hearts may have dissembling eyes.
Men, when their affairs require,
Must awhile themselves retire;
Sometimes hunt, and sometimes hawk,"
EDMUND SPENSER,"from The Faerie Queene: Book I, Canto I",Renaissance,Mythology & Folklore,"Pointed with mortall sting. Of her there bred
A thousand yong ones, which she dayly fed,
Sucking upon her poisonous dugs, eachone
Of sundry shapes, yet all ill favored:
Soone as that uncouth light upon them shone,"
LOUIS UNTERMEYER,Magic,Modern,Nature,"(No longer through a tricky, pale-green light)
Familiar turns and shrubs, the friendly path,
And Farmer Boothby in his woodland bath!
The woods became his background; every tree
Seemed part of him, and stood erect, and shared"
PAUL LAURENCE DUNBAR,The Haunted Oak,Modern,Nature,"They have no care for his innocence,
   And the rope they bear is long.""
They have fooled the jailer with lying words,
   They have fooled the man with lies;
The bolts unbar, the locks are drawn,"
D. H. LAWRENCE,Bat,Modern,Nature,"Hanging upside down like rows of disgusting old rags
And grinning in their sleep.
Bats!
In China the bat is symbol for happiness.
Not for me!"
WILLIAM BUTLER YEATS,The Song of Wandering Aengus,Modern,Nature,"And walk among long dappled grass,
And pluck till time and times are done,
The silver apples of the moon,
The golden apples of the sun."
SIR THOMAS WYATT,Remembrance,Renaissance,Love,         I would fain know what she hath deserved.
HART CRANE,For The Marriage of Faustus and Helen,Modern,Mythology & Folklore,"The hands Erasmus dipped in gleaming tides,
Gathered the voltage of blown blood and vine;
Delve upward for the new and scattered wine,
O brother-thief of time, that we recall.
Laugh out the meager penance of their days"
EDMUND SPENSER,"Amoretti VIII: More then most faire, full of the living fire",Renaissance,Love,"You calme the storme that passion did begin,
Strong thrugh your cause, but by your vertue weak.
Dark is the world, where your light shined never;
Well is he borne, that may behold you ever."
EN JONSON,Inviting a Friend to Supper,Renaissance,Love,"Ushering the mutton; with a short-legged hen,
If we can get her, full of eggs, and then
Lemons, and wine for sauce; to these a cony
Is not to be despaired of, for our money;
And, though fowl now be scarce, yet there are clerks,"
SIR THOMAS WYATT,Of the Mean and Sure Estate,Renaissance,Nature,"In bed of down; the dirt doth not defile
Her tender foot, she laboureth not as I.
Richly she feedeth and at the richman's cost,
And for her meat she needs not crave nor cry.
By sea, by land, of the delicates, the most"
D. H. LAWRENCE,The Bride,Modern,Mythology & Folklore,"Still winsome sleep, so still, and so composed.
Nay, but she sleeps like a bride, and dreams her dreams
      Of perfect things.
She lies at last, the darling, in the shape of her dream,
      And her dead mouth sings"
LOUIS UNTERMEYER,Magic,Modern,Nature,"We shot its nose against the rippling current,
Feeling the rising rivers half-deterrent
Pull on the paddle as we turned the blade
To keep from swerving round; while we delayed
To watch the curious wave-eaten locks;"
SIR PHILIP SIDNEY,Fourth Song,Renaissance,Love,"Take me to thee, and thee to me.
No, no, no, no, my dear, let be.
Sweet, alas, why strive you thus?
Concord better fitteth us:
Leave to Mars the force of hands,"
SIR WALTER RALEGH,As You Came from the Holy Land (attributed),Renaissance,Love,"There is none hath a form so divine
In the earth, or the air.
Such a one did I meet, good sir,
Such an angelic face,
Who like a queen, like a nymph, did appear"
EDMUND SPENSER,from The Shepheardes Calender: April,Renaissance,Mythology & Folklore,"         Like Ph{oe}be fayre?
Her heavenly haveour, her princely grace
         can you well compare?
The Redde rose medled with the White yfere,
In either cheeke depeincten lively chere."
EDMUND SPENSER,"from The Faerie Queene: Book I, Canto I",Renaissance,Mythology & Folklore,"The Eugh obedient to the benders will,
The Birch for shaftes, the Sallow for the mill,
The Mirrhe sweete bleeding in the bitter wound,
The warlike Beech, the Ash for nothing ill,
The fruitfull Olive, and the Platane round,"
SIR THOMAS WYATT,Avising the Bright Beams,Renaissance,Love,"Twixt misery and wealth, twixt earnest and game,
But few glad, and many diverse thought
With sore repentance of his hardiness.
Of such a root cometh fruit fruitless."
JOHN DONNE,A Valediction: of Weeping,Renaissance,Love,"Weep me not dead, in thine arms, but forbear
To teach the sea what it may do too soon;
         Let not the wind
         Example find,
To do me more harm than it purposeth;"
EDMUND SPENSER,"from The Faerie Queene: Book I, Canto I",Renaissance,Mythology & Folklore,"And then againe begun, My weaker yeares
Captiv'd to fortune and frayle worldly feares,
Fly to your faith for succour and sure ayde:
Let me not dye in languor and long teares.
Why Dame (quoth he) what hath ye thus dismayd?"
SIR THOMAS WYATT,Of the Mean and Sure Estate,Renaissance,Nature,"Let present pass and gape on time to come,
And deep yourself in travail more and more.
Henceforth, my Poynz, this shall be all and some,
These wretched fools shall have nought else of me;
But to the great God and to his high doom,"
D. H. LAWRENCE,Gloire de Dijon,Modern,Love,"She drips herself with water, and her shoulders
Glisten as silver, they crumple up
Like wet and falling roses, and I listen
For the sluicing of their rain-dishevelled petals.
In the window full of sunlight"
JOHN DONNE,Of the Progress of the Soul: The Second Anniversary,Renaissance,Nature,"Think that thou hear'st thy knell, and think no more,
But that, as bells call'd thee to church before,
So this to the Triumphant Church calls thee.
Think Satan's sergeants round about thee be,
And think that but for legacies they thrust;"
WILLIAM SHAKESPEARE,"Sonnet 110: Alas, tis true I have gone here and there",Renaissance,Love,"On newer proof, to try an older friend,
A god in love, to whom I am confin'd.
Then give me welcome, next my heaven the best,
Even to thy pure and most most loving breast."
"SECOND BARON VAUX OF HARROWDEN THOMAS, LORD VAUX",The Aged Lover Renounceth Love,Renaissance,Love,"And lusty life away she leaps
As there had been none such.
My Muse doth not delight
Me as she did before;
My hand and pen are not in plight,"
FORD MADOX FORD,In October 1914 [Antwerp],Modern,Mythology & Folklore,"And there is another and another and another... 
And little children, all in black, 
All with dead faces, waiting in all the waiting-places, 
Wandering from the doors of the waiting-room 
In the dim gloom. "
CARL SANDBURG,Momus,Modern,Nature,"Thrown over and through with a smile that forever wishes and wishes, purple, silent, fled from all the iron things of life, evaded like a sought bandit, gone into dreams, by God.
I wonder, Momus,
Whether shadows of the dead sit somewhere and look with deep laughter
On men who play in terrible earnest the old, known, solemn repetitions of history.
A droning monotone soft as sea laughter hovers from your kindliness of bronze,"
WILLIAM BUTLER YEATS,The Song of the Happy Shepherd,Modern,Nature,"Seek, then, for this is also sooth,
No word of theirs  the cold star-bane
Has cloven and rent their hearts in twain,
And dead is all their human truth.
Go gather by the humming sea"
EDMUND SPENSER,Amoretti LXXIX: Men Call you Fair,Renaissance,Love,"Deriv'd from that fair Spirit, from whom all true
And perfect beauty did at first proceed.
He only fair, and what he fair hath made,
All other fair, like flowers untimely fade."
FORD MADOX FORD,In October 1914 [Antwerp],Modern,Mythology & Folklore,"An image that shall take long to pass! 
III 
For the white-limbed heroes of Hellas ride by upon their horses 
Forever through our brains. 
The heroes of Cressy ride by upon their stallions; "
ELINOR WYLIE,Full Moon,Modern,Mythology & Folklore,"Shouldering the thoughts I loathed,
In their corrupt disguises clothed,
Morality I could not tear
From my ribs, to leave them bare
Ivory in silver air."
EN JONSON,Inviting a Friend to Supper,Renaissance,Love,"Of which had Horace, or Anacreon tasted,
Their lives, as so their lines, till now had lasted.
Tobacco, nectar, or the Thespian spring,
Are all but Luther's beer to this I sing.
Of this we will sup free, but moderately,"
JOHN DONNE,The Anniversary,Renaissance,Love,"         Two graves must hide thine and my corse;
         If one might, death were no divorce.
    Alas, as well as other Princes, we
    (Who Prince enough in one another be)
    Must leave at last in death these eyes and ears,"
T. S. ELIOT,Portrait of a Lady,Modern,Love,"And the ariettes
Of cracked cornets
Inside my brain a dull tom-tom begins
Absurdly hammering a prelude of its own,
Capricious monotone"
ELINOR WYLIE,Wild Peaches,Modern,Love,"                                  3 
When April pours the colors of a shell
Upon the hills, when every little creek
Is shot with silver from the Chesapeake
In shoals new-minted by the ocean swell,"
EDMUND SPENSER,Amoretti LIV: Of this worlds Theatre in which we stay,Renaissance,Love,"But when I laugh she mocks, and when I cry
She laughes, and hardens evermore her hart.
What then can move her? if not merth nor mone,
She is no woman, but a sencelesse stone."
SIR PHILIP SIDNEY,Astrophil and Stella 52: A strife is grown between Virtue and Love,Renaissance,Love,"By no pretense claim any manner place.
Well, Love, since this demur our suit doth stay,
Let Virtue have that Stella's self; yet thus,
Let Virtue but that body grant to us."
JOHN SKELTON,The Book of Phillip Sparrow,Renaissance,Mythology & Folklore,"For that I was robbed
Of my sparowes lyfe.
O mayden, wydow, and wyfe,
Of what estate ye be,
Of hye or lowe degre,"
D. H. LAWRENCE,Cruelty and Love ,Modern,Love,"I only know I let him finger there
My pulse of life, letting him nose like a stoat
Who sniffs with joy before he drinks the blood:
And down his mouth comes to my mouth, and down
His dark bright eyes descend like a fiery hood"
WILLIAM SHAKESPEARE,Sonnet 35: No more be grieved at that which thou hast done,Renaissance,Love,"And gainst myself a lawful plea commence.
Such civil war is in my love and hate,
   That I an accessory needs must be
   To that sweet thief which sourly robs from me."
SIR THOMAS WYATT,My Lute Awake,Renaissance,Love,"And then may chance thee to repent
The time that thou hast lost and spent
To cause thy lovers sigh and swoon;
Then shalt thou know beauty but lent,
And wish and want as I have done."
EDMUND SPENSER,Epithalamion,Renaissance,Mythology & Folklore,"Now it is night, ye damsels may be gon,
And leave my love alone,
And leave likewise your former lay to sing:
The woods no more shal answere, nor your echo ring.
Now welcome night, thou night so long expected,"
THOMAS CAMPION,Cherry-Ripe,Renaissance,Love,"      Yet them no peer nor prince can buy
      Till Cherry-ripe themselves do cry.
Her eyes like angels watch them still;
   Her brows like bended bows do stand,
Threat'ning with piercing frowns to kill"
EDMUND SPENSER,Epithalamion,Renaissance,Mythology & Folklore,"Where none doo fishes take,
Bynd up the locks the which hang scatterd light,
And in his waters which your mirror make,
Behold your faces as the christall bright,
That when you come whereas my love doth lie,"
T. S. ELIOT,The Love Song of J. Alfred Prufrock,Modern,Love,"Till human voices wake us, and we drown."
WILLIAM SHAKESPEARE,Sonnet 18: Shall I compare thee to a summers day?,Renaissance,Love,"Nor shall death brag thou wanderst in his shade,
When in eternal lines to time thou growst:
   So long as men can breathe or eyes can see,
   So long lives this, and this gives life to thee."
FORD MADOX FORD,In October 1914 [Antwerp],Modern,Mythology & Folklore,"How could they do it? 
Those souls that usually dived 
Into the dirty caverns of mines; 
Who usually hived 
In whitened hovels; under ragged poplars; "
FORD MADOX FORD,In October 1914 [Antwerp],Modern,Mythology & Folklore,"Belgian shall be an honourable word; 
As honourable as the fame of the sword, 
As honourable as the mention of the many-chorded lyre, 
And his old coat shall seem as beautiful as the fabrics woven in Tyre. 
V "
EDMUND SPENSER,"from The Faerie Queene: Book I, Canto I",Renaissance,Mythology & Folklore,"And dead as living ever him ador'd:
Upon his shield the like was also scor'd,
For soveraine hope, which in his helpe he had:
Right faithfull true he was in deede and word,
But of his cheere did seeme too solemne sad;"
SIR WALTER RALEGH,As You Came from the Holy Land (attributed),Renaissance,Love,"Whats the cause that she leaves you alone,
And a new way doth take,
Who loved you once as her own,
And her joy did you make?
I have lovd her all my youth;"
JOHN DONNE,Lovers' Infiniteness,Renaissance,Love,"         Dear, I shall never have thee all.
Or if then thou gavest me all,
All was but all, which thou hadst then;
But if in thy heart, since, there be or shall
New love created be, by other men,"
